date,M1,M2,M3,N1,N2,N3,N4
2020/6/12 0:00,4,5,2,4,4,2,2
2020/6/13 0:00,2,2,1,4,4,2,2
2020/6/14 0:00,4,4,1,4,4,4,4
2020/6/15 0:00,3,4,1,4,2,4,2
2020/6/16 0:00,2,3,2,2,4,2,2
2020/6/17 0:00,5,5,0,2,3,2,2
2020/6/18 0:00,4,4,1,4,4,2,2
2020/6/19 0:00,4,4,1,4,4,2,2
2020/6/20 0:00,4,4,1,4,4,2,2
2020/6/21 0:00,4,4,1,4,4,2,2
2020/6/22 0:00,4,4,1,4,3,2,3
2020/6/23 0:00,2,2,2,4,2,2,2
2020/6/24 0:00,3,4,1,4,2,4,2
2020/6/25 0:00,3,3,1,4,2,4,2
2020/6/26 0:00,2,2,1,4,2,2,2
2020/6/27 0:00,4,4,1,4,2,2,2
2020/6/28 0:00,4,3,1,4,2,2,3
2020/6/29 0:00,4,4,1,4,3,2,2
2020/6/30 0:00,2,2,2,4,2,4,2
2020/7/1 0:00,2,2,2,2,2,2,2
2020/7/2 0:00,4,4,1,4,4,2,2
2020/7/3 0:00,4,4,1,4,4,2,2
2020/7/4 0:00,2,3,1,4,3,2,2
2020/7/5 0:00,4,4,1,2,4,3,4
2020/7/6 0:00,3,3,2,4,3,4,2
2020/7/7 0:00,4,4,1,4,2,4,2
2020/7/8 0:00,2,2,2,3,3,2,2
2020/7/9 0:00,3,3,1,2,2,3,2
2020/7/10 0:00,4,4,1,4,2,4,2
2020/7/11 0:00,2,2,2,4,2,2,2
2020/7/12 0:00,3,4,2,4,2,4,4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
